id,supplement_a_id,supplement_b_id,interaction_type,severity,description_en,description_de,recommendation_en,recommendation_de,timing_recommendation,evidence_level,sources,is_active,is_seed,created_at,updated_at,risk_categories,mechanism_en,mechanism_de,requires_monitoring,monitoring_parameters
07f5aa49-42b4-4eda-af66-29c0b5013325,e54ba3ab-9583-4d3e-9730-651a4dcd6c6e,168773fb-3d48-4712-bf31-bf2319c543d8,conflict,caution,Some research suggests caffeine may reduce creatine benefits for power output. Debated.,"Einige Studien deuten darauf hin, dass Koffein die Kreatin-Vorteile für Kraftleistung reduzieren kann. Umstritten.","If maximizing creatine effects, consider separating from high caffeine","Für maximale Kreatin-Wirkung, evtl. von hohem Koffeinkonsum trennen",Separate by 1-2 hours if concerned,low,,true,true,2026-01-16 08:58:29.277849+00,2026-01-16 08:58:29.277849+00,[],,,false,[]
19d85ad4-6ddf-4c1b-a146-8b0f6b9aa513,093a1aba-2e4e-4041-99a4-f808daea64b6,b9e895b7-58df-4824-b1bb-f975782e8e51,timing,caution,5-HTP converts to serotonin which converts to melatonin. Taking both may cause excess.,"5-HTP wird zu Serotonin, das zu Melatonin wird. Beides einzunehmen kann zu Überschuss führen.","Start with one or the other; if combining, use lower doses",Mit einem beginnen; bei Kombination niedrigere Dosen verwenden,"Take 5-HTP earlier, melatonin at bedtime",moderate,,true,true,2026-01-16 08:58:29.277849+00,2026-01-16 08:58:29.277849+00,[],,,false,[]
342395aa-1f58-4a72-a2fd-7dfb74e2777a,b154dc47-ea12-41a0-ab41-ce676939207d,449d959c-7127-41ee-9d45-518ce6ddb680,synergy,info,Both support cardiovascular function and muscle relaxation. Complementary benefits.,Beide unterstützen die Herz-Kreislauf-Funktion und Muskelentspannung. Komplementäre Vorteile.,Good combination for heart health and recovery,Gute Kombination für Herzgesundheit und Erholung,Take together,moderate,,true,true,2026-01-16 08:58:53.538502+00,2026-01-16 08:58:53.538502+00,[],,,false,[]
4d3451ec-10c9-4460-b78f-8247b2468c43,449d959c-7127-41ee-9d45-518ce6ddb680,42dea58d-2a6e-4559-9307-fb839288019b,synergy,info,B6 enhances magnesium absorption and cellular uptake significantly,B6 verbessert die Magnesiumaufnahme und die zelluläre Aufnahme erheblich,Many quality Mg supplements include B6 (P-5-P form preferred),Viele hochwertige Mg-Präparate enthalten B6 (P-5-P-Form bevorzugt),Take together,moderate,,true,true,2026-01-16 08:58:05.441226+00,2026-01-16 08:58:05.441226+00,[],,,false,[]
534934dd-62bc-40a5-9b72-481703771397,3e13693a-f6ea-4c2f-a925-a4fe62dcfe42,4329dc82-a690-48b0-bea5-7d52546c67d9,synergy,info,Both support mitochondrial function. ALA regenerates CoQ10 and other antioxidants.,Beide unterstützen die Mitochondrienfunktion. ALA regeneriert CoQ10 und andere Antioxidantien.,Excellent combination for cellular energy and longevity,Ausgezeichnete Kombination für zelluläre Energie und Langlebigkeit,Take together with fat,moderate,,true,true,2026-01-16 08:58:05.441226+00,2026-01-16 08:58:05.441226+00,[],,,false,[]
5c997e0d-f6ce-499c-b6fe-45db2b695744,4dd4bd49-9f3e-439f-8c0f-2c1a78a45cf8,a03f24d3-a5a9-4842-ad17-caedf84bdd21,synergy,info,Vitamin C significantly enhances non-heme iron absorption,Vitamin C verbessert die Aufnahme von Nicht-Häm-Eisen erheblich,Take together to maximize iron absorption,Zusammen einnehmen für maximale Eisenaufnahme,,moderate,,true,true,2025-12-02 01:36:15.08977+00,2025-12-02 01:36:15.08977+00,[],,,false,[]
63aae878-9a3b-4373-a0d3-2ad44b2a0299,e80b4e30-86c8-4560-8ab7-c6e5314bb240,449d959c-7127-41ee-9d45-518ce6ddb680,absorption,caution,High-dose calcium and magnesium compete for absorption. Take separately for optimal uptake.,Hochdosiertes Calcium und Magnesium konkurrieren um Aufnahme. Getrennt einnehmen für optimale Aufnahme.,Separate by 2-4 hours if taking high doses,Bei hohen Dosen 2-4 Stunden Abstand einhalten,Separate by 2-4 hours,moderate,,true,true,2026-01-16 08:57:43.623542+00,2026-01-16 08:57:43.623542+00,[],,,false,[]
7827ec25-4f41-46b3-8b12-f5346b8f05ee,4c66f77c-7f8a-4d74-8854-819bda889872,449d959c-7127-41ee-9d45-518ce6ddb680,synergy,info,Both reduce cortisol and support relaxation. Complementary mechanisms.,Beide reduzieren Cortisol und unterstützen Entspannung. Komplementäre Mechanismen.,Evening stack for stress reduction and sleep quality,Abend-Stack für Stressabbau und Schlafqualität,Take together in evening,moderate,,true,true,2026-01-16 08:58:29.277849+00,2026-01-16 08:58:29.277849+00,[],,,false,[]
82181950-c09a-4d9e-980d-6dccefacf154,e5b9b089-f28e-4798-85dd-7de5959066c5,e89392d8-c61c-45be-9ea4-cc5002fbf1d8,synergy,info,K2 directs calcium (absorbed via D3) to bones instead of arteries. Critical combination.,K2 leitet das durch D3 aufgenommene Calcium in die Knochen statt in die Arterien. Kritische Kombination.,Always pair D3 with K2 for safe calcium metabolism,D3 immer mit K2 kombinieren für sicheren Calciumstoffwechsel,Take together,high,,true,true,2026-01-16 08:57:43.623542+00,2026-01-16 08:57:43.623542+00,[],,,false,[]
83cc7721-40f7-4345-bb60-a67c8db554a2,4dd4bd49-9f3e-439f-8c0f-2c1a78a45cf8,e80b4e30-86c8-4560-8ab7-c6e5314bb240,absorption,warning,Calcium inhibits iron absorption by up to 50%,Calcium hemmt die Eisenaufnahme um bis zu 50%,Take at different times of day,Zu verschiedenen Tageszeiten einnehmen,Take 2-4 hours apart,moderate,,true,true,2025-12-02 01:36:15.08977+00,2025-12-02 01:36:15.08977+00,[],,,false,[]
