dataset             | record_key |           cls            |                                            ids                                             | prod_class | maps_to | concept |                                                                                                        claim                                                                                                        
--------------------------------+------------+--------------------------+--------------------------------------------------------------------------------------------+------------+---------+---------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 community_science_delta        | 0          |                          |                                                                                            |            |         |         | Primobolan (Methenolone) senkt das wahrgenommene Estradiol / wirkt 'E2-trocknend'; Nutzer berichten geringere E2-Symptome und nutzen Primo als 'E2-Kontrolle' neben Testosteron.
 community_science_delta        | 1          |                          |                                                                                            |            |         |         | 19-nor-Verbindungen (Nandrolon, Trenbolon) erhoehen Prolaktin klinisch relevant; 'Deca-Dick'/Laktation werden auf Prolaktin geschoben, Cabergolin als Gegenmittel propagiert.
 community_science_delta        | 10         |                          |                                                                                            |            |         |         | TB-500 beschleunigt Recovery von Sehnen-/Weichteilverletzungen und verbessert Flexibilitaet beim Menschen.
 community_science_delta        | 11         |                          |                                                                                            |            |         |         | MOTS-c steigert Energie, Ausdauer und Stoffwechsel/Fettverlust spuerbar beim Menschen.
 community_science_delta        | 12         |                          |                                                                                            |            |         |         | CJC-1295 DAC vs. no-DAC: Community debattiert 'DAC = konstante IGF-1-Erhoehung/Bleibeeffekt, no-DAC = pulsatile/natuerlichere GH-Achse'; DAC wird teils als bleibend gefaehrlich, no-DAC als 'natuerlich' geframed.
 community_science_delta        | 13         |                          |                                                                                            |            |         |         | Ipamorelin ist der 'saubere' GHRP: kein Hunger, kein Prolaktin-, kein Cortisol-Anstieg — im Gegensatz zu GHRP-6/GHRP-2.
 community_science_delta        | 14         |                          |                                                                                            |            |         |         | GHK-Cu systemisch injiziert: Anti-Aging, Haut/Haar-Verbesserung, Entzuendungshemmung am ganzen Koerper.
 community_science_delta        | 15         |                          |                                                                                            |            |         |         | Epitalon (Epithalon) verbessert Schlaf, Telomerase-Aktivitaet und Langlebigkeit beim Menschen.
 community_science_delta        | 16         |                          |                                                                                            |            |         |         | AOD-9604 ist ein sicheres 'Fettverbrenner-Peptid ohne GH-Nebenwirkungen'.
 community_science_delta        | 17         |                          |                                                                                            |            |         |         | PEG-MGF nach dem Training systemisch injiziert steigert Muskelwachstum; PEGylierung verlaengert die Halbwertszeit auf Tage und macht systemische Gabe sinnvoll.
 community_science_delta        | 18         |                          |                                                                                            |            |         |         | Nandrolon ('Deca') sei gelenkschonend / 'schmiere die Gelenke' — Deca-Dick und Gelenkrelief als Duett.
 community_science_delta        | 19         |                          |                                                                                            |            |         |         | hCG on-cycle erhaelt Fertilitaet/Hodenvolumen; hCG spuele auch E2 hoch ('hCG-E2-Spike') und brauche AI-Management.
 community_science_delta        | 2          |                          |                                                                                            |            |         |         | SHBG-Community-Claims: bestimmte AAS (Proviron/Mesterolon, Winstrol, Masteron) 'senken SHBG stark und steigern freie Gains'; niedriges SHBG wird aktiv angestrebt.
 community_science_delta        | 20         |                          |                                                                                            |            |         |         | Clomiphen-PCT: 'Clomid macht emotional/nebenwirkungsreich, Enclomiphen ist das bessere Clomid'.
 community_science_delta        | 21         |                          |                                                                                            |            |         |         | Raloxifen statt Tamoxifen fuer Gyno: 'Ralox ist staerker bei Gyno und sicherer' (on-cycle/PCT-Off-Label).
 community_science_delta        | 22         |                          |                                                                                            |            |         |         | Anastrozol ist dosisempfindlich: '0,25 mg 2x/Wo reicht' — Community nutzt Mini-Dosen jenseits medizinischer 1 mg/d-Regime.
 community_science_delta        | 23         |                          |                                                                                            |            |         |         | Exemestan ist der 'sanfte' AI: kein E2-Rebound (suizidal), lipidschoenender als Anastrozol.
 community_science_delta        | 24         |                          |                                                                                            |            |         |         | Testosteron-Dosis-Wirkung: 'mehr mg = linear mehr Muskel, 500 ist der Sweet Spot' — Community-Sweet-Spot-Modelle.
 community_science_delta        | 25         |                          |                                                                                            |            |         |         | Kreatin-Blutbild: 'erhoehtes Kreatinin unter Kreatin ist harmlos/Artefakt, keine Nierenschaedigung'.
 community_science_delta        | 26         |                          |                                                                                            |            |         |         | Biotin vor Blutabnahme absetzen ('Biotin verfaelscht Schilddruesen-/Troponin-Werte') — Supplement-Community-Wissen.
 community_science_delta        | 27         |                          |                                                                                            |            |         |         | Trenbolon-Neurotoxizitaet: 'Tren brain'/Schlafstoerung, Aggression, Nachtschweiss als erwartete, spezifische Tren-Toxizitaet.
 community_science_delta        | 28         |                          |                                                                                            |            |         |         | Sermorelin sei ein 'natuerliches, sicheres Anti-Aging-GH-Peptid' (Klinik-Marketing- und Community-Claim).
 community_science_delta        | 29         |                          |                                                                                            |            |         |         | Kombinations-'Blends' (z.B. CJC-noDAC+Ipamorelin, 'Wolverine stack' BPC+TB500) wirken synergistisch ueber Einzelsubstanzen hinaus.
 community_science_delta        | 3          |                          |                                                                                            |            |         |         | 'Dry' vs. 'wet' AAS: Testosteron/Dianabol/Deca = Wasserretention ('wet'), Tren/Primo/Winstrol/Masteron = 'dry'; Wasserlook als zentrales Unterscheidungsmerkmal der Substanzen.
 community_science_delta        | 4          |                          |                                                                                            |            |         |         | Ester-'Feel': Testosteron-Propionat fuehlt sich anders an als Enanthate/Cypionate ('Prop = trockener, weniger Bloat, anderer Geisteszustand'), trotz identischem Wirkstoff.
 community_science_delta        | 5          |                          |                                                                                            |            |         |         | AI/SERM-Response-Heterogenitaet: 'Manche brauchen auf 500 mg Test keinen AI, andere auf 150 mg schon' — Community akzeptiert grosse interindividuelle Aromatase-/Response-Streuung.
 community_science_delta        | 6          |                          |                                                                                            |            |         |         | 'Nolvadex kills gains': Tamoxifen in der PCT/on-cycle reduziere IGF-1 und damit Muskelaufbau; Enclomiphen/Clomiphen oder gar kein SERM bevorzugt.
 community_science_delta        | 7          |                          |                                                                                            |            |         |         | Masteron (Drostanolone) wirkt 'wie ein leichter AI' und ersetzt teilweise Aromatasehemmer im Cycle.
 community_science_delta        | 8          |                          |                                                                                            |            |         |         | 'Tren schaedigt die Nieren' — gestuetzt auf dunklen Urin und erhoehte Kreatinin-Werte; Gegenposition: Kreatinin-Anstieg ist Artefakt, Cystatin-C-Debatte in der Community.
 community_science_delta        | 9          |                          |                                                                                            |            |         |         | BPC-157 heilt Sehnen/Muskeln/Darm beim Menschen; Widespread-Injury-Recovery-Use mit hoher Konsistenz der Anekdoten.
 community_side_effect_patterns | 0          | aas_19nor                | ["sub_77b68a4df6", "sub_b00dbb8895"]                                                       |            |         |         | 
 community_side_effect_patterns | 1          | aas_19nor                | ["sub_c5698497ea", "sub_45993d058e", "sub_77919d26d0"]                                     |            |         |         | 
 community_side_effect_patterns | 10         | oral_aas_17aa            | ["sub_9132da9055", "sub_be89b6f179", "sub_a04faae7b6"]                                     |            |         |         | 
 community_side_effect_patterns | 11         | aas_dht_derivate         | ["sub_25fa4abc12"]                                                                         |            |         |         | 
 community_side_effect_patterns | 12         | aas_aromatisierend       | ["drug_e8c13f9d2e", "sub_9132da9055", "sub_be89b6f179"]                                    |            |         |         | 
 community_side_effect_patterns | 13         | aas_injectable           | ["drug_e8c13f9d2e", "drug_dee37789d0"]                                                     |            |         |         | 
 community_side_effect_patterns | 14         | aas_injectable           | ["sub_af6dd9482e"]                                                                         |            |         |         | 
 community_side_effect_patterns | 15         | aas_injectable           | ["sub_af6dd9482e"]                                                                         |            |         |         | 
