id,name,name_de,slug,category,subcategory,description,benefits,typical_dose,dose_unit,dose_min,dose_max,best_timing,requires_cycling,cycling_protocol,interactions,contraindications,is_active,deleted_at,is_seed,created_at,updated_at,i18n,default_dose,default_unit,default_timing,take_with_food,take_with_fat,take_empty_stomach,timing_notes,avoid_with,cycling_recommended,cycle_on_weeks,cycle_off_weeks,nutrients_provided,form,side_effects,allergy_flags,priority,is_enhanced,half_life_hours,detection_time_days,concentration,min_dose,max_dose,is_17aa,is_stimulant,suppression_level,hepatotoxicity_level,cardiovascular_risk,affects_axes,organ_stress,safety_tags,active_compound_key,aliases,classes,prolactin_risk,neuro_risk,glucose_risk,diuretic_type,insulin_type,hpta_suppression
00140fa5-7cc4-469e-9999-ec8f2f6af15a,Anadrol (Oxymetholone),,anadrol,steroid_oral,,"Most powerful oral for mass. Does not aromatize but causes estrogen-like sides. 4 weeks max recommended.

Administration: Single dose or split. Many find 50mg as effective as 100mg with less sides.
Route: oral",,,mg,25,100,,false,,"[""Do not combine with other hepatotoxic compounds"",""Monitor liver values""]","[""Liver disease"",""Cardiovascular disease""]",true,,true,2025-12-03 05:09:21.312901+00,2026-01-25 07:09:17.88727+00,{},,mg,"[""morning""]",false,false,false,,,false,,,{},oral,"[""Extremely liver toxic"",""Estrogenic without aromatizing"",""Headaches"",""Appetite suppression"",""Lethargy"",""Water retention extreme""]",[],nice_to_have,true,16,56,50 mg/tab,,,true,false,none,high,none,"[""hpta""]",{},"[""17aa"",""oral_steroid""]",oxymetholone,[],"[""AAS"",""androgen"",""oral""]",none,none,none,none,none,shutdown
00c5a7d8-c512-49a9-a766-4730af30d95e,GLA (Gamma Linolenic Acid),,gla-skin,beauty,skin,,,,,,720,,false,,"[""May affect blood clotting""]",,true,,true,2025-12-03 04:55:20.115401+00,2025-12-03 04:55:20.115401+00,{},240,mg,"[""morning""]",true,false,false,Essential fatty acid for skin - from evening primrose or borage,,false,,,"{""omega_6_gla"":{""unit"":""mg"",""amount"":240}}",softgel,"[""May cause digestive upset"",""Soft stools possible""]",[],nice_to_have,false,,,,,,false,false,none,none,none,[],{},[],,[],[],none,none,none,none,none,none
01079ad6-cac8-40a4-b33f-425cb060c2f0,Tamoxifen Citrate (Nolvadex),,nolvadex,pct_hpta,,"SERM for PCT and gyno prevention. Blocks estrogen at breast tissue. Longer half-life than Clomid.

Administration: Oral. 4-6 weeks PCT. Can use on cycle for gyno prevention.
Route: oral",,,mg,10,40,,false,,"[""SERM"",""Anti-gyno on cycle"",""PCT compound""]","[""Blood clot history""]",true,,true,2025-12-03 05:15:44.94676+00,2026-01-25 07:09:17.88727+00,{},,mg,"[""morning""]",false,false,false,,,false,,,{},oral,"[""Hot flashes"",""Leg cramps"",""Rare: blood clots"",""Bone protective""]",[],nice_to_have,true,168,0,20 mg/tab,,,false,false,none,none,none,"[""hpta""]",{},"[""pct"",""serm""]",tamoxifen,[],"[""serm"",""hpta_recovery"",""pharmaceutical"",""gyno_prevention""]",none,none,none,none,none,none
0130d1a4-47ae-4f85-a7a6-df8f6bf7e71d,Dianabol (Methandrostenolone),,dianabol,steroid_oral,,"Classic mass builder. Rapid weight gain mostly water. Kickstart for injectable cycles. 4-6 weeks max.

Administration: Split into 2-3 doses per day. Take with food. Pre-workout dose effective.
Route: oral",,,mg,20,50,,false,,"[""AI required"",""TUDCA recommended"",""Do not stack with other orals""]","[""Liver disease"",""Cardiovascular disease"",""Gyno prone""]",true,,true,2025-12-03 05:09:21.312901+00,2026-01-25 07:09:17.88727+00,{},,mg,"[""morning""]",false,false,false,,,false,,,{},oral,"[""Liver toxic"",""High estrogenic: water retention, gyno"",""Androgenic: acne"",""Back pumps"",""Elevated BP"",""Suppressive""]",[],nice_to_have,true,6,42,10-50 mg/tab,,,true,false,none,high,none,"[""hpta""]",{},"[""17aa"",""oral_steroid""]",methandrostenolone,[],"[""AAS"",""androgen"",""oral""]",none,none,none,none,none,shutdown
014de322-3cea-484d-8bec-fa694109a115,Thyroid Support Complex,,thyroid-support,health,thyroid,,,,,,2,,false,,"[""May interact with thyroid medications""]",,true,,true,2025-12-03 05:00:20.524451+00,2025-12-03 05:34:49.3738+00,{},1,capsule,"[""morning""]",true,false,false,Iodine + selenium + tyrosine + herbs,,false,,,"{""iodine"":{""unit"":""µg"",""amount"":150},""selenium"":{""unit"":""µg"",""amount"":100}}",capsule,"[""May affect thyroid function"",""Consult doctor if thyroid issues""]",[],nice_to_have,false,,,,,,false,false,none,none,none,[],{},[],,[],[],none,none,none,none,none,none
018a8280-261b-4818-b18f-9dddca8ac4f6,Prebiotic Fiber (Inulin),,prebiotic-inulin,probiotic,gut,,,,,,15,,false,,"[""Feeds beneficial bacteria"",""May affect blood sugar""]",,true,,true,2025-12-03 04:49:04.230964+00,2025-12-03 04:49:04.230964+00,{},5,g,"[""morning""]",false,false,false,Feed your probiotics - chicory root source,,false,,,"{""fiber"":{""unit"":""g"",""amount"":5}}",powder,"[""May cause gas and bloating"",""Start low and increase slowly""]",[],top_needed,false,,,,,,false,false,none,none,none,[],{},[],,[],[],none,none,none,none,none,none
01959f6f-9872-4086-8750-d26e5639cbc3,K2 MK-4,,vitamin-k2-mk4,vitamin,fat_soluble,,,,,,15,,false,,"[""Blood thinner interaction""]",,true,,true,2025-12-03 05:03:33.550365+00,2025-12-03 05:34:49.3738+00,{},5,mg,"[""morning""]",true,false,false,MK-4 form - needs multiple doses,,false,,,"{""vitamin_k"":{""unit"":""µg"",""amount"":5000}}",capsule,"[""Short-acting K2"",""Multiple daily doses needed""]",[],nice_to_have,false,,,,,,false,false,none,none,none,[],{},[],,[],[],none,none,none,none,none,none
01a2476e-eeb0-4fd7-9752-ee3a29322244,Cardarine (GW-501516),,cardarine-gw501516,sarm,,"PPAR agonist, not SARM. Extreme endurance benefits. Fat burning. Cancer concern from rodent studies debated.

Administration: Once daily. Pre-workout for best results. 8-12 week cycles.
Route: oral",,,mg,10,20,,false,,"[""Not a SARM - PPAR agonist"",""Massive endurance boost"",""No suppression""]","[""Cancer history - controversial""]",true,,true,2025-12-03 05:12:31.541162+00,2026-01-25 07:09:17.88727+00,{},,mg,"[""morning""]",false,false,false,,,false,,,{},oral,"[""Cancer concern in rodent studies at extreme doses"",""No suppression""]",[],nice_to_have,true,24,0,10 mg/ml,,,false,false,moderate,low,none,"[""hpta""]",{},[],cardarine-gw501516,[],"[""metabolic_modulator"",""ppar_delta_agonist"",""endurance_enhancer"",""non_suppressive""]",none,none,none,none,none,none
0251f89e-d3b2-4565-bc1b-ea7d1d35461b,Vitamin D3 + K2 Combo,,vitamin-d3-k2-combo,vitamin,fat_soluble,,,,,,2,,false,,"[""K2 interacts with anticoagulants"",""Synergistic combination for bone health""]",,true,,true,2025-12-03 04:46:17.239767+00,2025-12-03 05:34:49.3738+00,{},1,capsule,"[""morning""]",true,true,false,Take with fatty meal - optimal together,,false,,,"{""vitamin_d"":{""unit"":""µg"",""amount"":125},""vitamin_k"":{""unit"":""µg"",""amount"":100}}",softgel,"[""Generally very safe"",""High vitamin D may cause hypercalcemia""]",[],top_needed,false,,,,,,false,false,none,none,none,[],{},[],,[],[],none,none,none,none,none,none
02652a63-d26e-4e11-81cb-125755f79a3d,GABA,,gaba,sleep,sleep,,,,,,1500,,false,,"[""May enhance effects of sedatives"",""May affect blood pressure""]",,true,,true,2025-12-03 04:50:10.60852+00,2025-12-03 04:50:10.60852+00,{},500,mg,"[""morning""]",false,false,false,Inhibitory neurotransmitter - debated absorption,,false,,,{},capsule,"[""May cause tingling"",""Drowsiness expected"",""Shortness of breath rare""]",[],top_needed,false,,,,,,false,false,none,none,none,[],{},[],,[],[],none,none,none,none,none,none
